Disease,Screening test,Study ID,TP,FP,FN,TN,N,Sensitivity,Specificity,PPV,NPV,% TP,% FP,% FN,% TN,Source
Breast cancer,Mammography,Canadian,226,2841,76,41575,44718,74.8%,93.6%,7.4%,99.8%,0.5%,6.4%,0.2%,93.0%,https://pubmed.ncbi.nlm.nih.gov/3060219/
Breast cancer,Mammography,Malmo,118,418,10,15088,15634,92.2%,97.3%,22.0%,99.9%,0.8%,2.7%,0.1%,96.5%,https://pubmed.ncbi.nlm.nih.gov/9631167/
Breast cancer,Mammography,Stockholm,128,1525,21,30900,32574,85.9%,95.3%,7.7%,99.9%,0.4%,4.7%,0.1%,94.9%,https://pubmed.ncbi.nlm.nih.gov/3790749/
Breast cancer,Mammography,Swedish two-county,413,3026,20,65311,68770,95.4%,95.6%,12.0%,100.0%,0.6%,4.4%,0.0%,95.0%,https://pubmed.ncbi.nlm.nih.gov/9631167/
Cervical cancer,Cotesting,ARTISTIC round 1,453,3566,0,14367,18386,100.0%,80.1%,11.3%,100.0%,2.5%,19.4%,0.0%,78.1%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Cotesting,ARTISTIC round 2,80,1178,5,9334,10597,94.1%,88.8%,6.4%,99.9%,0.8%,11.1%,0.0%,88.1%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Cotesting,NTCC phase I,120,2702,0,19340,22162,100.0%,87.7%,4.3%,100.0%,0.5%,12.2%,0.0%,87.3%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Cotesting,POBASCAM round 1,257,1149,10,18593,20009,96.3%,94.2%,18.3%,99.9%,1.3%,5.7%,0.0%,92.9%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Cotesting,POBASCAM round 2,132,610,28,8962,9732,82.5%,93.6%,17.8%,99.7%,1.4%,6.3%,0.3%,92.1%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,hrHPV,FINNISH,509,4462,31,57135,62137,94.3%,92.8%,10.2%,99.9%,0.8%,7.2%,0.0%,92.0%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,hrHPV,NTCC phase II,137,1799,0,22629,24565,100.0%,92.6%,7.1%,100.0%,0.6%,7.3%,0.0%,92.1%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Pap,ARTISTIC round 1,133,653,0,5338,6124,100.0%,89.1%,16.9%,100.0%,2.2%,10.7%,0.0%,87.2%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Pap,ARTISTIC round 2,34,176,1,3656,3867,97.1%,95.4%,16.2%,100.0%,0.9%,4.6%,0.0%,94.5%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Pap,FINNISH,267,4239,52,61241,65799,83.7%,93.5%,5.9%,99.9%,0.4%,6.4%,0.1%,93.1%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Pap,NTCC phase I,84,771,0,21201,22056,100.0%,96.5%,9.8%,100.0%,0.4%,3.5%,0.0%,96.1%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Pap,NTCC phase II,55,770,0,23268,24093,100.0%,96.8%,6.7%,100.0%,0.2%,3.2%,0.0%,96.6%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Pap,POBASCAM round 1,193,513,22,19400,20128,89.8%,97.4%,27.3%,99.9%,1.0%,2.5%,0.1%,96.4%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Pap,POBASCAM round 2,162,612,22,8838,9634,88.0%,93.5%,20.9%,99.8%,1.7%,6.4%,0.2%,91.7%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Cervical cancer,Pap,SWEDESCREEN,78,72,41,6120,6311,65.5%,98.8%,52.0%,99.3%,1.2%,1.1%,0.6%,97.0%,https://www.ncbi.nlm.nih.gov/books/NBK526306/
Chlamydia,NAAT (chlamydia),Schacter 2003,106,10,13,1262,1391,89.1%,99.2%,91.4%,99.0%,7.6%,0.7%,0.9%,90.7%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Chlamydia,NAAT (chlamydia),Taylor 2011,52,4,4,389,449,92.9%,99.0%,92.9%,99.0%,11.6%,0.9%,0.9%,86.6%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Chlamydia,NAAT (chlamydia),Van Der Pol 2012a,101,12,3,2173,2289,97.1%,99.5%,89.4%,99.9%,4.4%,0.5%,0.1%,94.9%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Chlamydia,NAAT (chlamydia),Schoeman 2012,163,0,20,2050,2233,89.1%,100.0%,100.0%,99.0%,7.3%,0.0%,0.9%,91.8%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Chlamydia,NAAT (chlamydia),Van Der Pol 2012a,94,1,11,2163,2269,89.5%,100.0%,98.9%,99.5%,4.1%,0.0%,0.5%,95.3%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Chlamydia,NAAT (chlamydia),Schacter 2003,68,3,7,503,581,90.7%,99.4%,95.8%,98.6%,11.7%,0.5%,1.2%,86.6%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Chlamydia,NAAT (chlamydia),Shrier 2004,14,0,13,99,126,51.9%,100.0%,100.0%,88.4%,11.1%,0.0%,10.3%,78.6%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Chlamydia,NAAT (chlamydia),Van Der Pol 2012a,102,7,4,2155,2268,96.2%,99.7%,93.6%,99.8%,4.5%,0.3%,0.2%,95.0%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Chlamydia,NAAT (chlamydia),Taylor 2011,53,8,4,385,450,93.0%,98.0%,86.9%,99.0%,11.8%,1.8%,0.9%,85.6%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Chlamydia,NAAT (chlamydia),Taylor 2011,51,0,8,379,438,86.4%,100.0%,100.0%,97.9%,11.6%,0.0%,1.8%,86.5%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
Chlamydia,NAAT (chlamydia),Gaydos 2013,46,6,2,1074,1128,95.8%,99.4%,88.5%,99.8%,4.1%,0.5%,0.2%,95.2%,https://www.ncbi.nlm.nih.gov/books/NBK248299/
